Company,Job Title,URL,Applied Date,Status,Notes,Source
Traild,Technical Lead - Payment Infrastructure,https://careers.kula.ai/traild/28665,2026-05-27,rejected,,
Yotpo,Engineering Tech Lead,https://www.yotpo.com/careers/gid-7242327/?gh_jid=7242327&gh_src=0566843c1us,2026-05-26,rejected,,LinkedIn
Yotpo,Senior Backend Engineer,https://www.yotpo.com/careers/gid-6879751/,2026-05-27,applied,,
Conifers.ai,Senior Software Engineer - Agentic AI,,,rejected,,LinkedIn
Base44,Unknown,,,rejected,,LinkedIn
Wix,Backend Engineer for Devex,,,rejected,Had four interviews with them and then they said no,
Zenity,Senior Backend Engineer,https://www.linkedin.com/jobs/view/4415904300/,2026-05-20,rejected,,LinkedIn
Navan,Senior Software Engineer,,2026-05-25,applied,,LinkedIn
Alice,AI Infrastructure Engineer,,2026-05-13,rejected,,LinkedIn
Mylo.ai,Senior Backend Developer,,2026-05-24,rejected,Interviewed - rejected due to lack of LLM and Agentic experience,LinkedIn
EasySend,Senior Backend Engineer,,2026-05-28,applied,,LinkedIn
Sensi.AI,Senior Platform Engineer,,2026-05-28,applied,,LinkedIn
Sleek,Senior Backend Developer,,2026-03-20,applied,never heard back so I'm assuming nothing is happening,LinkedIn
Sett,Senior Infrastructure Engineer,,2026-04-14,rejected,had three interviews and then they said no,
Paragon,Infrastructure Automation Engineer,,2026-03-15,rejected,had two interviews and they said no,
Nebius,Data Center IT Infrastructure Engineer,https://careers.nebius.com/?gh_jid=4784195101&gh_src=4r54jpl2teu,2026-05-26,applied,,
Nebius,DC Infrastructure Engineer,https://careers.nebius.com/?gh_jid=4559736101,2026-05-26,applied,Beit Shemesh based,Direct
Nebius,Senior SRE Engineer,https://careers.nebius.com/?gh_jid=4376374101&gh_src=284k0bb2teu,,applied,,Direct
Snyk,Senior Software Engineer,https://snyk.wd103.myworkdayjobs.com/External/job/Israel---Tel-Aviv-Office/Senior-Software-Engineer_JR100584?source=LinkedIn_Sponsored,2026-05-29,applied,,LinkedIn
(Discreet),Team Lead,https://recruitcrm.io/apply/17780558812280078164mBj,2026-05-27,applied,,RecruitCRM
SentinelOne,Senior Platform Engineer - Developer Platform DevEx,https://www.sentinelone.com/jobs/?gh_jid=7697659003&gh_src=c61082833us,2026-05-20,applied,,
Sentra,Senior Full Stack Engineer,https://www.comeet.com/jobs/sentra/87.00B/senior-full-stack-engineer/D3.965,2026-05-18,applied,,
Unknown,Full Stack Developer,https://rybtech.com/jobs/516352,2026-05-18,applied,,RybTech
HeartStamp Inc,Technical Lead - Platform & AI Infrastructure,https://weworkremotely.com/listings/heartstamp-inc-technical-lead-platform-ai-infrastructure-founding-team,2026-05-15,applied,,WeWorkRemotely
(Stealth),Software Platform Engineer Team Lead,,2026-05-20,applied,,
Tikal,Backend Developer,,2026-04-26,rejected,,Headhunter/Direct
Dreeze,Full Stack Engineer,,2026-05-18,rejected,,Boris
Fiverr,Senior Backend Software Engineer,,2026-05-18,applied,,Boris
McKinsey/Iguazio,Unknown,,2026-05-18,applied,,Boris
Trullion,Backend Engineer (AI Team),,2026-05-14,rejected,,LinkedIn
Nebius,Senior SRE,https://careers.nebius.com/?gh_jid=4376374101&gh_src=284k0bb2teu,2026-05-26,applied,Remote,Direct
Nebius,Center IT Infrastructure Engineer,https://careers.nebius.com/?gh_jid=4784195101&gh_src=4r54jpl2teu,2026-05-26,applied,Beit Shemesh based,Direct
Rhino Federated Computing,Senior Backend Engineer,,2026-03-22,rejected,5 interviews,
Navina,Senior Backend Engineer,www.navina.ai,2026-05-31,rejected,Rejection email received from Navina's hiring team,
PlanetScale,Solutions Engineer,https://job-boards.greenhouse.io/planetscale/jobs/4052805009,2026-06-01,applied,,
Confidential (via Janglo),Senior Software Engineer (IAM),https://www.janglo.net/item/8xcPhj5hqec,2026-06-01,applied,,
Swap,Engineering Team Lead,https://jobs.ashbyhq.com/swap/34cde21b-937f-414e-b419-356eda722338,2026-06-02,applied,,
Chalk,Forward Deployed Engineer @ Chalk,https://jobs.ashbyhq.com/chalk/e1678b56-8dc7-4955-a576-9450bd568a0c,2026-06-03,applied,,
